word,let,syl,freq_KF,freq_BNC,freq_TV,freq_PG,freq_BN,noun,adjective,ndim1,ndim2,ndim3,ndim4,ndim5,ndim6,ndim7,adim1,adim2,adim3,adim4,adim5,adim6,adim7,adim8,adim9,adim10,p_hit,p_fa,DP
absent-minded,13,4,-99,0.48951,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,2.42,3.21,5.1,3.33,6.2,4.2,3.31,2.12,1.99,1.98,-99,-99,-99
abusing,7,3,-99,1.928072,1.506138,2.20805,1.196078,0,1,-99,-99,-99,-99,-99,-99,-99,1.03,6.91,6.72,4.32,6.66,4.2,5.01,1.12,1.21,3.06,-99,-99,-99
accomodating,12,4,-99,-99,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,5.16,1.89,4.46,4.63,4.79,3.46,2.9,5.14,5.79,4.12,-99,-99,-99
acorn,5,2,-99,2.367632,-99,-99,0.72549,1,0,4.39,2.31,6.76,6.28,6.68,2.73,1.81,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.88,0.068966,2.658527
apricots,8,3,-99,0.849151,-99,-99,0.27451,1,0,5,1.96,5.87,6.18,5.87,2.45,1.66,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.857143,0,3.393918
aquarium,8,4,-99,8.551449,1.779981,-99,2.764706,1,0,4.86,1.75,6.36,5.97,6.66,2.52,2.63,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.695652,0.058824,2.076663
argumentative,13,5,-99,1.398601,-99,-99,0.745098,0,1,-99,-99,-99,-99,-99,-99,-99,2.33,5.27,5.09,4.76,6.38,3.03,4.79,1.88,2.2,4.54,-99,-99,-99
baronet,7,3,-99,1.618382,-99,4.59649,0.215686,1,0,3.75,3.21,3.13,4.5,3.55,1.32,2.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.714286,0.052632,2.185805
blase,5,1,-99,0.14985,-99,-99,0.019608,0,1,-99,-99,-99,-99,-99,-99,-99,2.56,4,2.13,3.56,3.84,1.59,2.09,2.47,2.08,3.62,-99,-99,-99
blitzkrieg,10,2,-99,-99,-99,-99,0.313725,1,0,2.57,5.05,3,3.95,3.27,2,3.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.882353,0,3.513179
boastful,8,2,-99,0.47952,-99,-99,0.215686,0,1,-99,-99,-99,-99,-99,-99,-99,2.25,4.5,5.96,4.89,4.91,2.99,4.37,2.02,2.34,4.15,-99,-99,-99
bossy,5,2,-99,1.168831,2.224976,-99,1.745098,0,1,-99,-99,-99,-99,-99,-99,-99,2.19,5.22,5.73,4.61,6.88,5.27,4.72,1.65,1.64,5.88,-99,-99,-99
boyfriend,9,2,-99,10.909091,88.6225,-99,72.235294,1,0,4.72,3.12,5.8,4.96,6.36,4.88,5.32,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.818182,0,3.234806
broad-minded,12,3,-99,0.25974,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,5.72,2.52,4.23,4.25,6.11,3.26,1.6,6.06,6.01,4.39,-99,-99,-99
bullheaded,10,3,-99,-99,-99,-99,0.392157,0,1,-99,-99,-99,-99,-99,-99,-99,2.23,4.82,4.76,3.17,5.69,2.15,2.7,1.82,1.42,4.29,-99,-99,-99
busybody,8,4,-99,0.37962,-99,-99,0.607843,1,0,3.12,4.78,4.75,4.31,6.06,2.87,2.84,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.7,0.041667,2.256065
castration,10,3,-99,0.859141,-99,-99,0.470588,1,0,1.9,5.23,4.3,5.38,5.4,1.86,3.42,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.83871,0,3.315517
caustic,7,2,-99,1.978022,-99,2.3196,0.137255,0,1,-99,-99,-99,-99,-99,-99,-99,2.65,4.4,3.34,3.77,4.06,3.01,3.18,2.58,1.99,3.6,-99,-99,-99
chime,5,1,-99,0.659341,-99,1.96992,0.921569,1,0,4.63,2.53,4.8,4.63,5.66,2.46,2.53,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.631579,0.111111,1.556678
cinnamon,8,3,-99,2.047952,3.902265,2.8465,2.980392,1,0,5.43,2.43,6.26,6.2,6.33,3.51,2.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.842105,0.03125,2.86588
clean-cut,9,2,-99,0.36963,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,5.47,3.11,6.11,4.54,6.43,3.35,2.42,5.79,5.4,5.05,-99,-99,-99
clear-headed,12,3,-99,0.1998,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,5.54,1.62,6.06,4.9,6.07,3.23,3.33,6.4,6.53,4.43,-99,-99,-99
clownish,8,2,-99,0.20979,-99,-99,0.039216,0,1,-99,-99,-99,-99,-99,-99,-99,3.07,2.76,6.38,4.28,6.13,3.06,2.58,3.81,3.51,4.07,-99,-99,-99
cockroach,9,2,-99,0.46953,1.951133,-99,3.411765,1,0,2,4.95,6.43,6.65,6.82,2.34,2.86,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.75,0.060606,2.224196
coma,4,2,-99,2.537463,20.435548,-99,12.27451,1,0,1.33,5.16,4.83,5.73,5.93,3.33,5.33,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.861111,0,3.411673
combative,9,3,-99,1.108891,-99,-99,0.529412,0,1,-99,-99,-99,-99,-99,-99,-99,2.6,5.21,5.44,4.4,5.11,1.79,3.12,2.13,2.42,4.22,-99,-99,-99
comical,7,3,-99,1.398601,-99,-99,0.823529,0,1,-99,-99,-99,-99,-99,-99,-99,5.42,2.66,5.93,4.84,6.63,5.31,3.53,6.54,6.59,3.9,-99,-99,-99
compliant,9,3,-99,1.508492,-99,-99,0.156863,0,1,-99,-99,-99,-99,-99,-99,-99,3.97,3.78,2.58,4.83,5.1,3.31,3.38,4.21,4.57,3.99,-99,-99,-99
conforming,10,3,-99,1.228771,-99,-99,0.196078,0,1,-99,-99,-99,-99,-99,-99,-99,3,3.83,5.79,4.38,6.69,4.19,3.06,2.57,2.07,3.48,-99,-99,-99
cool-headed,11,3,-99,0.08991,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,5.39,2.21,4.67,3.63,4.63,2.83,2.35,5.76,6.14,6.13,-99,-99,-99
crabby,6,2,-99,0.11988,1.232294,-99,0.921569,0,1,-99,-99,-99,-99,-99,-99,-99,2.32,5.63,6.28,3.61,6.93,2.46,4.51,1.69,1.31,4.78,-99,-99,-99
criticised,10,3,-99,13.076923,-99,-99,0.215686,0,1,-99,-99,-99,-99,-99,-99,-99,2.06,5.51,4.5,4.19,6.32,5.28,4.53,2.53,2,2.76,-99,-99,-99
cucumber,8,3,-99,2.107892,1.67729,-99,1.980392,1,0,3.97,2.47,6.73,6.17,6.5,2.52,1.38,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.814815,0,3.222128
cyclone,7,2,-99,0.939061,-99,-99,0.470588,1,0,2.96,4.56,5.37,5.21,6.09,2.65,3.18,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.722222,0,2.915804
dagger,6,2,-99,3.316683,2.635741,8.61941,4.921569,1,0,2.84,4.69,5.69,5.46,6.23,2.29,2.96,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.692308,0.05,2.147256
daredevil,9,3,-99,0.36963,-99,-99,0.647059,1,1,3.61,4.73,5.23,4.42,6.26,3.34,3.38,3.43,4.78,6.43,4.52,6,3.3,4.19,3.83,4.11,4.2,0.741935,0,2.975672
daydreamer,10,3,-99,-99,-99,-99,0.078431,1,0,5.25,1.8,5.15,3.72,6.47,3.05,3.57,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.727273,0,2.930933
decomposed,10,3,-99,0.789211,-99,-99,0.470588,0,1,-99,-99,-99,-99,-99,-99,-99,2.32,4.53,4.16,3.58,5.46,2.05,2.2,1.63,1.21,2.36,-99,-99,-99
deformed,8,2,-99,2.087912,-99,-99,1.294118,0,1,-99,-99,-99,-99,-99,-99,-99,1.54,5.21,5.82,4.37,6.54,3.34,3.08,2.1,1.54,2.68,-99,-99,-99
demonstrative,13,4,-99,0.859141,-99,-99,0.352941,0,1,-99,-99,-99,-99,-99,-99,-99,4.06,4.34,4.49,4.03,5.8,4.34,2.98,4.02,3.51,4.84,-99,-99,-99
deserter,8,3,-99,0.38961,-99,1.48891,0.72549,1,0,2.21,4.76,3.58,3.42,5.03,2.69,4.35,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.724138,0.058824,2.159905
devil,43,2,-99,-99,-99,-99,-99,1,0,1.19,5.48,4.96,3.5,5.25,3.51,4.33,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.758621,0,3.02822
diploma,7,3,-99,7.492507,2.841123,-99,2.529412,1,0,6.16,3.58,6.45,5.87,6.91,4.12,3.37,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.710526,0.083333,1.937917
dishonorable,12,4,-99,-99,-99,-99,0.627451,0,1,-99,-99,-99,-99,-99,-99,-99,1.59,5.31,4.72,4.29,5.79,3.58,3.76,1.62,1.16,3.72,-99,-99,-99
dislikable,10,4,-99,-99,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,1.69,5.14,5.64,4.65,6.33,3.13,3.43,1.85,1.31,3.66,-99,-99,-99
disrespectful,13,4,-99,0.549451,1.643059,-99,2.058824,0,1,-99,-99,-99,-99,-99,-99,-99,1.47,4.65,5.72,4.95,6.64,4.67,4.9,1.1,1.59,3.6,-99,-99,-99
distrustful,11,3,-99,0.47952,-99,1.50315,0.098039,0,1,-99,-99,-99,-99,-99,-99,-99,1.6,5.28,4.34,4.72,6.91,4.79,5.88,1.23,1.21,3.09,-99,-99,-99
down-hearted,12,3,-99,-99,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,2.85,4.42,3.79,2.32,5.25,1.92,4.13,2.36,2.18,2.83,-99,-99,-99
down-to-earth,13,3,-99,1.428571,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,5.9,1.78,5.24,4,7,3.02,2.51,5.37,6.41,3.76,-99,-99,-99
dustpan,7,2,-99,0.2997,-99,-99,0.254902,1,0,3.86,3.24,6.62,6.55,6.27,2.3,1.66,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.84375,0,3.336338
Easter,6,2,-99,-99,-99,-99,-99,1,0,5.68,2.06,5.78,4.71,6.28,3.3,4.54,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.72,0.04,2.333528
egotistical,11,5,-99,0.549451,-99,-99,0.686275,0,1,-99,-99,-99,-99,-99,-99,-99,2.53,4.69,5.09,4.83,5.26,4.03,3.59,3.25,3.23,3.37,-99,-99,-99
ennui,5,2,-99,0.27972,-99,2.28796,0.372549,1,0,3.4,3.13,2.31,3.22,1.68,1.95,1.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.956522,0.064516,3.229604
exactness,9,3,-99,0.24975,-99,2.81406,0.019608,1,0,4.68,4.36,3.21,5.05,5.94,2.94,2.57,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.666667,0.033333,2.264642
excitable,9,4,-99,1.338661,-99,-99,0.470588,0,1,-99,-99,-99,-99,-99,-99,-99,5.13,3.24,5.62,4.98,6.09,4.93,5.36,5.74,6.28,3.83,-99,-99,-99
exhibitionistic,15,5,-99,-99,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,3.68,4.79,3.7,4.45,5.53,3.22,3.5,3.58,3.48,3.72,-99,-99,-99
extraverted,11,4,-99,-99,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,4.17,2.64,4.91,4.62,5.82,3.74,3.38,4.21,4.19,3.8,-99,-99,-99
faithless,9,2,-99,0.48951,-99,3.73494,0.529412,0,1,-99,-99,-99,-99,-99,-99,-99,2.5,4.46,4.81,3.95,6.54,2.42,4.23,2.05,1.29,3.78,-99,-99,-99
false,5,1,-99,-99,18.689797,-99,21.137255,0,1,-99,-99,-99,-99,-99,-99,-99,2.25,4.6,3.92,4.35,6.82,4.23,1.76,1.45,1.28,5.21,-99,-99,-99
fault-finding,13,3,-99,0.22977,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,2.56,4.77,4.66,3.77,5.94,2.94,3.68,2.27,2.63,3.17,-99,-99,-99
flabby,6,2,-99,0.999001,-99,1.3829,0.803922,0,1,-99,-99,-99,-99,-99,-99,-99,1.91,3.62,5.31,4.01,5.26,2.97,3.28,2.2,1.17,3.65,-99,-99,-99
flawed,6,1,-99,3.806194,1.574598,-99,1.235294,0,1,-99,-99,-99,-99,-99,-99,-99,1.59,5.25,4.31,4.46,6.54,4.18,4.71,2.4,2.04,2.56,-99,-99,-99
foresighted,11,3,-99,-99,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,4.88,3.26,2.73,2.32,4.97,2.84,2.63,4.73,5.44,4.89,-99,-99,-99
fretful,7,2,-99,0.559441,-99,-99,0.039216,0,1,-99,-99,-99,-99,-99,-99,-99,2.48,4.84,5.63,3.97,4.78,2.96,3.65,2.09,1.64,2.66,-99,-99,-99
gangrene,8,2,-99,0.599401,-99,-99,0.901961,1,0,2.56,5.04,3.04,5.73,4.04,1.87,2.34,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.909091,0.04,3.085864
giraffe,7,2,-99,0.689311,-99,-99,1.490196,1,0,4.68,2.03,6.25,6.25,6.62,2.06,1.93,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.722222,0.034483,2.408101
girlfriend,10,2,-99,11.728272,79.585675,-99,76.098039,1,0,4.71,3.14,5.42,5.32,6.39,5,4.78,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.851852,0.041667,2.776073
good-humored,12,3,-99,-99,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,6.17,2.34,6.08,3.9,6.35,4.23,4.3,6.78,6.43,5.32,-99,-99,-99
good-natured,12,3,-99,1.338661,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,6.52,2.37,3.97,4.49,6.7,4,4.8,6.64,6.63,5.75,-99,-99,-99
good-tempered,13,3,-99,0.11988,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,6.51,2.09,5.26,3.6,6.86,2.81,4.21,6.76,6.59,2.84,-99,-99,-99
gossipy,7,3,-99,0.34965,-99,-99,0.078431,0,1,-99,-99,-99,-99,-99,-99,-99,2.45,4.86,5.43,3.73,6,3.64,2.88,2.29,2.18,4.05,-99,-99,-99
grime,5,1,-99,1.288711,-99,-99,0.411765,1,0,2.29,3.91,5.12,4.95,6.08,3.7,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.71875,0.033333,2.413047
gripe,5,1,-99,0.37962,-99,-99,0.784314,1,0,2.91,3.65,3.26,3.86,5.31,2.82,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.761905,0,3.038791
grouchy,7,2,-99,0.05994,-99,-99,0.862745,0,1,-99,-99,-99,-99,-99,-99,-99,1.81,4.96,5.83,4.3,5.52,2.29,5.2,1.55,1.19,3.92,-99,-99,-99
grumpy,6,2,-99,1.308691,2.464589,-99,2.352941,0,1,-99,-99,-99,-99,-99,-99,-99,2.12,4.61,6.26,5.42,6.96,4.54,5.33,2.19,1.53,3.55,-99,-99,-99
guillotine,10,3,-99,1.988012,-99,1.99919,0.823529,1,0,2.13,5.27,5.96,6,5.96,2.03,4.13,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.826087,0,3.265162
hairdryer,9,2,-99,0.979021,-99,-99,0.215686,1,0,3.82,2.51,6.27,6.31,6.62,3.37,1.48,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.735294,0.1,1.910456
halibut,7,3,-99,0.27972,-99,-99,0.509804,1,0,3.76,3,3.3,4.58,3.56,1.74,1.76,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.809524,0,3.202491
happy-go-lucky,14,5,-99,0.41958,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,5.64,2.79,4.91,3.82,6.19,3.01,4.39,5.3,5.67,2.98,-99,-99,-99
hard-hearted,12,3,-99,0.22977,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,2.77,4.55,4.24,2.84,5.17,3.16,3.65,1.97,1.37,4.1,-99,-99,-99
headlight,9,2,-99,0.24975,-99,-99,0.72549,1,0,4.19,2.97,6.38,5.88,6.16,3.83,2.05,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.736842,0.115385,1.83202
headstrong,10,2,-99,0.569431,-99,1.81011,0.901961,0,1,-99,-99,-99,-99,-99,-99,-99,4.67,4.91,4.43,4.37,5.93,3.31,4.48,4.7,5.66,5.53,-99,-99,-99
high-spirited,13,4,-99,0.539461,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,6.02,3.74,6.47,3.9,6.47,3.75,3.86,5.93,6.37,4.74,-99,-99,-99
high-strung,11,2,-99,-99,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,2.57,5.35,5.24,3.87,6.12,2.54,3.89,2.72,2.47,3.59,-99,-99,-99
hinder,6,2,-99,2.887113,-99,10.3654,0.72549,0,1,-99,-99,-99,-99,-99,-99,-99,2.59,4.87,2.68,3.91,5.22,2.48,2.08,2.44,2.18,3.98,-99,-99,-99
homespun,8,2,-99,0.519481,-99,-99,0.196078,0,1,-99,-99,-99,-99,-99,-99,-99,3.76,3.5,2.76,2.77,2.57,1.31,1.27,4.02,2.64,3.3,-99,-99,-99
hooker,6,2,-99,3.946054,8.078374,-99,11.72549,1,0,2.08,4.75,5.75,4.79,6.2,3.54,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.708333,0.030303,2.424881
hot-headed,10,3,-99,0.15984,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,1.66,4.95,5.05,3.89,6.67,2.92,4.73,2.26,1.39,2.46,-99,-99,-99
hot-tempered,12,3,-99,0.14985,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,2.21,5.94,5.68,5.82,6.71,3.23,4.5,2.08,1.4,2.71,-99,-99,-99
humorless,9,3,-99,-99,-99,-99,0.196078,0,1,-99,-99,-99,-99,-99,-99,-99,2.5,4.46,5.68,3.7,6.68,3,2.28,2.65,1.42,3.58,-99,-99,-99
hydrant,7,2,-99,0.06993,-99,-99,1.019608,1,0,3.88,3.38,5.91,5.5,5.58,3.05,1.85,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.6875,0,2.815124
hypochondriac,13,4,-99,0.24975,-99,-99,0.392157,1,1,2.57,4.42,3.84,4.33,5.21,2.75,3.33,2.51,4.67,3.55,5.36,5.32,2.35,2.91,2.44,1.75,3.83,0.864865,0,3.428788
ill-mannered,12,3,-99,0.35964,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,1.37,5.48,5.98,3.76,5.17,4.07,4.21,1.16,1.17,3.38,-99,-99,-99
ill-tempered,12,3,-99,0.36963,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,1.71,5.58,5.15,4.2,6.44,4.05,5.57,1.35,1.27,3.65,-99,-99,-99
impolite,8,3,-99,0.559441,-99,-99,1.294118,0,1,-99,-99,-99,-99,-99,-99,-99,1.63,5.63,5.69,3.8,6.86,3.26,4.83,1.7,1.42,4.1,-99,-99,-99
impressionable,14,5,-99,0.859141,1.403446,-99,0.843137,0,1,-99,-99,-99,-99,-99,-99,-99,4.19,3.27,5.46,3.93,5.94,4.12,3.58,4.11,3.31,3.81,-99,-99,-99
India,5,2,-99,-99,-99,-99,-99,1,0,4.02,3.23,5.47,6.05,6.67,4.26,2.52,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.875,0,3.476697
inhabitant,10,4,-99,0.989011,-99,4.46595,0.156863,1,0,3.23,2.84,4.11,3.96,5.88,3.38,2.61,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.615385,0,2.619729
innovative,10,4,-99,10.17982,-99,-99,1.019608,0,1,-99,-99,-99,-99,-99,-99,-99,5.65,2.92,5.33,3.88,5.83,4.77,3.54,5.81,6.13,4.17,-99,-99,-99
inoffensive,11,4,-99,0.519481,-99,2.13052,0.235294,0,1,-99,-99,-99,-99,-99,-99,-99,4.42,2.86,4.58,4.65,6,2.73,2.46,4.54,4.86,3.54,-99,-99,-99
insightful,10,3,-99,0.25974,-99,-99,0.980392,0,1,-99,-99,-99,-99,-99,-99,-99,6.02,2.9,3.81,3.79,5.99,4.16,4.17,5.4,6.08,4.34,-99,-99,-99
instep,6,2,-99,0.4995,-99,-99,0.313725,1,0,3.87,2.66,2.45,3.37,3.12,1.66,1.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.8,0,3.167969
irreligious,11,4,-99,0.2997,-99,-99,0.039216,0,1,-99,-99,-99,-99,-99,-99,-99,3.26,3.71,4.36,4.18,5.38,3.54,2.62,3.47,2.96,4.78,-99,-99,-99
Italian,7,2,-99,-99,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,4.41,3.06,4.87,6.05,6.13,2.49,1.63,5.28,3.64,1.96,-99,-99,-99
joyless,7,2,-99,0.45954,-99,-99,0.098039,0,1,-99,-99,-99,-99,-99,-99,-99,2.09,4.28,4.32,3.25,5.7,2.24,4.58,1.76,1.96,3.32,-99,-99,-99
kind-hearted,12,3,-99,0.25974,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,6.34,1.31,2.04,4.4,6.66,3.33,5.07,6.51,6.61,4.76,-99,-99,-99
law-breaker,11,3,-99,-99,-99,-99,-99,1,0,1.95,5,4.58,4.21,6.78,4.56,3.95,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.928571,0,3.791582
lethargic,9,3,-99,1.108891,-99,-99,0.313725,0,1,-99,-99,-99,-99,-99,-99,-99,2.19,3.06,5.47,4.03,5.68,2.51,2.52,2.14,1.77,3.3,-99,-99,-99
lettuce,7,2,-99,3.946054,3.080736,1.94856,3.392157,1,0,4.3,3,5.82,6.17,6.47,3.82,1.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.777778,0.09375,2.082721
level-headed,12,4,-99,0.539461,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,5.41,2.14,4.64,4.53,6.44,3.45,3.04,5.66,5.86,5.45,-99,-99,-99
light-hearted,13,3,-99,1.278721,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,4.98,2.53,4.87,3.51,6.65,3.87,4.72,5.32,5.57,3.94,-99,-99,-99
lightbulb,9,2,-99,0.23976,-99,-99,-99,1,0,4.81,2.9,6.53,6.06,6.78,3.34,1.65,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.769231,0.047619,2.404707
lighthouse,10,2,-99,3.106893,2.978045,2.05932,3.078431,1,0,4.68,2.09,6.22,6.4,6.63,2.59,2.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.866667,0.074074,2.556875
likable,7,3,-99,0.04995,-99,-99,0.843137,0,1,-99,-99,-99,-99,-99,-99,-99,6,1.28,5.58,4.22,6.57,4.17,5.24,6.53,6.34,4.06,-99,-99,-99
loud-mouthed,12,2,-99,0.11988,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,2.3,5.77,5.81,4.56,6.21,3.11,2.93,1.98,1.64,4.26,-99,-99,-99
maggot,6,2,-99,2.327672,-99,-99,1.588235,1,0,2.53,4.37,5.93,5.5,5.78,2.68,2.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.84,0.08,2.399529
mallet,6,2,-99,1.698302,-99,-99,0.686275,1,0,2.88,3.81,5.96,5.48,5.48,2.51,1.96,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.823529,0.038462,2.697725
mane,4,1,-99,1.798202,-99,4.38446,0.588235,1,0,4.33,2.7,5.52,5.55,5.58,2.47,1.83,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.72973,0.12,1.786983
manipulative,12,5,-99,1.528472,4.826486,-99,1.627451,0,1,-99,-99,-99,-99,-99,-99,-99,1.97,5.47,4.98,5.26,6.79,5.17,3.53,1.92,2.33,4.65,-99,-99,-99
mannerly,8,3,-99,-99,-99,-99,0.137255,0,1,-99,-99,-99,-99,-99,-99,-99,5.44,2.31,4.67,3.93,6.44,4.22,2.67,5.74,5.53,5.89,-99,-99,-99
meddlesome,10,3,-99,0.11988,-99,-99,0.352941,0,1,-99,-99,-99,-99,-99,-99,-99,2.71,4.55,4.72,4.18,6.07,3.09,3.28,3.05,2.58,4.58,-99,-99,-99
medleu,6,2,-99,-99,-99,-99,-99,1,0,3.52,3.88,1.64,2.92,2,1.52,1.68,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.769231,0,3.062664
melancholic,11,4,-99,0.43956,-99,-99,0.098039,0,1,-99,-99,-99,-99,-99,-99,-99,3.04,3.85,4.34,3.21,4.87,2.44,4.34,2.53,1.91,2.97,-99,-99,-99
middleclass,11,3,-99,0.08991,-99,-99,0.019608,0,1,-99,-99,-99,-99,-99,-99,-99,4.24,3.74,4.59,6.79,5.85,4.27,2.75,4.25,3.74,4.05,-99,-99,-99
miserly,7,3,-99,0.45954,-99,-99,0.058824,0,1,-99,-99,-99,-99,-99,-99,-99,2.41,4.47,4.86,4.63,5.78,2.19,4.43,2.47,1.53,3.52,-99,-99,-99
misfit,6,2,-99,0.27972,-99,-99,0.588235,1,0,2.02,4.23,4.25,3.15,5.66,3.17,3.56,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.72,0.057143,2.162061
mitten,6,2,-99,0.08991,-99,-99,0.45098,1,0,4.56,2.35,6.1,6.13,6.4,2.29,1.91,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.806452,0,3.191242
motorcycle,10,4,-99,2.887113,10.269119,-99,8.921569,1,0,4.48,3.2,6.75,6.03,6.44,4.24,2.34,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.758621,0.095238,2.011044
mucous,6,2,-99,1.058941,-99,-99,0.392157,1,0,2.6,4.3,4.56,5.52,5.08,2.34,1.82,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.933333,0.0625,3.035206
muffin,6,2,-99,0.529471,8.249526,-99,5.823529,1,0,4.54,2.86,6.45,6.13,6.27,3.54,1.59,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.62069,0.055556,1.900511
mutation,8,3,-99,4.815185,-99,-99,1.72549,1,0,2.36,5.1,5.3,3.89,6.17,3.13,3.18,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.642857,0.028571,2.268323
narrow-minded,13,4,-99,0.649351,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,1.67,4.87,5.39,4.9,5.84,3.57,3.76,1.53,1.24,4.81,-99,-99,-99
negativistic,12,5,-99,-99,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,1.71,4.82,2.92,3.62,3.77,1.86,3.65,1.31,1.36,4.71,-99,-99,-99
neglectful,10,3,-99,0.22977,-99,-99,0.294118,0,1,-99,-99,-99,-99,-99,-99,-99,1.62,4.76,4.97,4.92,6.68,5.08,4.39,1.06,1.15,3.36,-99,-99,-99
nipple,6,2,-99,1.468531,2.56728,-99,2.823529,1,0,3.88,3.24,6.56,5.4,6.76,3.12,2.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.882353,0,3.513179
